name,points,max_speed,burst1820,burst2022,burst22,maxdistancegame,maxdistance60,avgshotspeed,shotAttempts70To80,shotAttempts80To90,shotAttempts90To100,shotAttemptsOver100,maxShotspeed,allshotnumber,high_danger,mid_range,long_range,dzonestarts,nzonestarts,ozonestarts,dzonepctg,nzonepctg,ozonepctg
Nikita Kucherov,121,22.832,530,100,2,4.3984,9.6272,62.0417,89,66,4,0,96.28,265,57,84,31,0.303,0.2766,0.4204,0.36069228,0.18199583,0.45731189
Nathan MacKinnon,116,23.829,762,464,83,4.6687,9.7306,58.3916,92,25,0,0,87.93,320,69,138,26,0.2467,0.3037,0.4496,0.34250328,0.17788214,0.47961458
Leon Draisaitl,106,23.2,679,188,14,3.8977,9.2403,57.0155,78,11,0,0,87.42,240,67,71,13,0.2709,0.2973,0.4319,0.34618786,0.17420931,0.47960283
David Pastrnak,106,22.37,560,100,4,4.1437,9.6064,62.3312,120,71,13,0,98.03,319,70,111,60,0.2282,0.2814,0.4904,0.36220281,0.18074446,0.45705273
Mitch Marner,102,23.559,408,83,3,4.1142,9.3616,58.3515,64,11,0,0,87.31,173,40,59,31,0.3383,0.3366,0.3251,0.4037502,0.17453102,0.42171878
Connor McDavid,100,23.969,745,359,83,4.7551,10.4104,53.6149,70,7,0,0,88.0,196,62,75,6,0.2329,0.3063,0.4609,0.33579046,0.17138219,0.49282734
Kyle Connor,97,22.637,706,162,6,4.2511,10.1297,60.8663,103,46,0,0,89.31,267,64,119,14,0.2581,0.2903,0.4516,0.38628313,0.1715353,0.44218157
Jack Eichel,94,23.496,837,320,28,3.96,9.8164,64.9392,91,69,5,0,94.11,233,61,95,21,0.2763,0.3294,0.3943,0.38976804,0.17568303,0.43454893
Cale Makar,92,23.626,488,179,27,4.6439,8.8594,69.9608,241,61,33,0,98.42,246,30,97,90,0.2753,0.2879,0.4368,0.37162777,0.17331538,0.45505685
Sidney Crosby,91,22.544,597,154,5,4.0675,9.7224,53.0843,43,14,2,0,94.48,227,89,47,15,0.2608,0.3317,0.4075,0.3648248,0.17635786,0.45881734
Clayton Keller,90,23.168,619,93,3,3.7698,9.2664,57.458,42,28,0,0,89.28,218,61,75,18,0.2662,0.3172,0.4166,0.35465697,0.18326501,0.46207802
Brandon Hagel,90,23.204,558,173,18,3.8532,8.777,55.4953,73,10,0,0,87.53,228,82,82,21,0.3815,0.3331,0.2855,0.39104174,0.1822528,0.42670546
Artemi Panarin,89,21.834,447,62,0,4.0204,9.6525,65.1712,169,36,1,0,90.09,237,24,114,47,0.2201,0.351,0.4289,0.3607366,0.17318062,0.46608278
